source,lat,lon,date,PRECTOTCORR,PS,RH2M,T2M,WS2M
NASA_POWER,4.65847,-74.08396,2021-04-28,1.13,82.33,87.78,17.97,0.74
NASA_POWER,4.65847,-74.08396,2021-04-29,3.81,82.39,88.49,17.96,0.78
NASA_POWER,4.65847,-74.08396,2021-04-30,2.61,82.49,88.59,16.99,0.87
NASA_POWER,4.65847,-74.08396,2021-05-01,0.28,82.46,82.67,17.85,0.83
NASA_POWER,4.65847,-74.08396,2021-05-02,0.92,82.51,87.48,17.1,0.63
NASA_POWER,4.65847,-74.08396,2021-05-03,0.04,82.51,82.14,17.98,0.92
NASA_POWER,4.65847,-74.08396,2021-05-04,0.94,82.5,83.69,18.37,1.17
NASA_POWER,4.65847,-74.08396,2021-05-05,0.18,82.5,83.61,18.17,0.59
NASA_POWER,4.65847,-74.08396,2021-05-06,0.46,82.44,81.69,18.32,0.71
NASA_POWER,4.65847,-74.08396,2021-05-07,0.34,82.44,82.44,18.12,0.93
NASA_POWER,4.65847,-74.08396,2021-05-08,0.94,82.44,82.54,18.17,0.99
NASA_POWER,4.65847,-74.08396,2021-05-09,0.26,82.37,79.62,19.01,1.04
NASA_POWER,4.65847,-74.08396,2021-05-10,0.06,82.3,76.98,19.21,1.66
NASA_POWER,4.65847,-74.08396,2021-05-11,0.0,82.32,74.72,18.81,1.59
NASA_POWER,4.65847,-74.08396,2021-05-12,0.0,82.34,71.86,19.38,1.65
NASA_POWER,4.65847,-74.08396,2021-05-13,0.0,82.33,74.06,19.7,1.3
NASA_POWER,4.65847,-74.08396,2021-05-14,1.18,82.3,75.3,19.68,1.2
NASA_POWER,4.65847,-74.08396,2021-05-15,2.15,82.29,78.64,20.22,0.88
NASA_POWER,4.65847,-74.08396,2021-05-16,0.15,82.33,78.65,19.97,1.1
NASA_POWER,4.65847,-74.08396,2021-05-17,7.93,82.39,82.94,18.69,1.09
NASA_POWER,4.65847,-74.08396,2021-05-18,0.64,82.44,80.05,18.39,1.05
NASA_POWER,4.65847,-74.08396,2021-05-19,0.0,82.34,72.86,19.6,1.18
NASA_POWER,4.65847,-74.08396,2021-05-20,0.0,82.27,72.2,20.52,0.97
NASA_POWER,4.65847,-74.08396,2021-05-21,0.0,82.3,72.17,20.73,1.19
NASA_POWER,4.65847,-74.08396,2021-05-22,0.0,82.29,73.01,20.56,1.38
NASA_POWER,4.65847,-74.08396,2021-05-23,6.26,82.27,73.27,20.35,1.83
NASA_POWER,4.65847,-74.08396,2021-05-24,13.88,82.29,74.8,20.05,2.22
NASA_POWER,4.65847,-74.08396,2021-05-25,2.78,82.35,79.65,19.7,1.59
NASA_POWER,4.65847,-74.08396,2021-05-26,1.65,82.47,74.31,19.1,2.15
NASA_POWER,4.65847,-74.08396,2021-05-27,0.12,82.49,76.03,19.53,1.14
NASA_POWER,4.65847,-74.08396,2021-05-28,0.0,82.36,79.27,19.32,0.86
NASA_POWER,4.65847,-74.08396,2021-05-29,2.8,82.31,85.94,18.61,0.76
NASA_POWER,4.65847,-74.08396,2021-05-30,4.29,82.35,80.82,19.55,0.84
NASA_POWER,4.65847,-74.08396,2021-05-31,5.6,82.45,79.87,19.1,1.13
NASA_POWER,4.65847,-74.08396,2021-06-01,0.05,82.39,73.33,19.11,1.23
NASA_POWER,4.65847,-74.08396,2021-06-02,0.0,82.33,74.06,19.71,0.7
NASA_POWER,4.65847,-74.08396,2021-06-03,2.71,82.33,79.92,19.71,0.88
NASA_POWER,4.65847,-74.08396,2021-06-04,1.09,82.38,79.97,19.11,0.97
NASA_POWER,4.65847,-74.08396,2021-06-05,0.61,82.36,76.08,19.02,0.7
NASA_POWER,4.65847,-74.08396,2021-06-06,9.44,82.32,80.24,18.89,1.06
NASA_POWER,4.65847,-74.08396,2021-06-07,3.53,82.33,76.15,19.02,1.19
NASA_POWER,4.65847,-74.08396,2021-06-08,1.46,82.44,77.94,18.6,0.7
NASA_POWER,4.65847,-74.08396,2021-06-09,0.15,82.5,80.45,18.31,0.39
NASA_POWER,4.65847,-74.08396,2021-06-10,0.0,82.5,80.46,17.65,1.12
NASA_POWER,4.65847,-74.08396,2021-06-11,0.76,82.39,76.48,19.22,0.74
NASA_POWER,4.65847,-74.08396,2021-06-12,26.07,82.37,81.04,18.8,1.09
NASA_POWER,4.65847,-74.08396,2021-06-13,16.24,82.43,82.15,18.65,0.75
NASA_POWER,4.65847,-74.08396,2021-06-14,5.16,82.49,83.64,18.39,0.59
NASA_POWER,4.65847,-74.08396,2021-06-15,24.02,82.49,84.0,18.83,0.76
NASA_POWER,4.65847,-74.08396,2021-06-16,22.04,82.42,85.47,17.65,0.85
NASA_POWER,4.65847,-74.08396,2021-06-17,6.97,82.39,80.3,17.14,1.72
NASA_POWER,4.65847,-74.08396,2021-06-18,11.6,82.45,78.18,17.13,1.76
NASA_POWER,4.65847,-74.08396,2021-06-19,15.66,82.47,78.83,18.19,1.74
NASA_POWER,4.65847,-74.08396,2021-06-20,5.03,82.49,77.14,17.77,2.37
NASA_POWER,4.65847,-74.08396,2021-06-21,6.2,82.51,78.63,17.28,1.44
NASA_POWER,4.65847,-74.08396,2021-06-22,0.07,82.53,81.0,17.36,0.89
NASA_POWER,4.65847,-74.08396,2021-06-23,23.14,82.53,84.39,17.46,0.86
NASA_POWER,4.65847,-74.08396,2021-06-24,2.25,82.43,77.12,17.9,0.81
NASA_POWER,4.65847,-74.08396,2021-06-25,1.43,82.41,77.0,17.98,0.79
NASA_POWER,4.65847,-74.08396,2021-06-26,0.23,82.36,80.26,18.07,0.8
NASA_POWER,4.65847,-74.08396,2021-06-27,2.62,82.33,77.95,18.75,0.76
NASA_POWER,4.65847,-74.08396,2021-06-28,1.69,82.41,76.46,19.02,1.47
NASA_POWER,4.65847,-74.08396,2021-06-29,0.72,82.46,76.83,18.58,1.88
NASA_POWER,4.65847,-74.08396,2021-06-30,5.95,82.43,78.35,17.37,2.01
NASA_POWER,4.65847,-74.08396,2021-07-01,1.01,82.48,82.14,16.91,1.39
NASA_POWER,4.65847,-74.08396,2021-07-02,0.0,82.5,78.23,17.53,1.2
NASA_POWER,4.65847,-74.08396,2021-07-03,1.34,82.56,78.4,17.24,1.91
NASA_POWER,4.65847,-74.08396,2021-07-04,0.05,82.58,75.71,16.66,1.81
NASA_POWER,4.65847,-74.08396,2021-07-05,0.07,82.58,75.14,17.21,1.4
NASA_POWER,4.65847,-74.08396,2021-07-06,0.84,82.49,74.54,18.2,1.65
NASA_POWER,4.65847,-74.08396,2021-07-07,0.06,82.33,73.67,19.06,1.42
NASA_POWER,4.65847,-74.08396,2021-07-08,2.05,82.28,73.24,19.59,1.78
NASA_POWER,4.65847,-74.08396,2021-07-09,3.34,82.33,76.3,19.2,1.21
NASA_POWER,4.65847,-74.08396,2021-07-10,1.34,82.35,76.93,18.4,1.29
NASA_POWER,4.65847,-74.08396,2021-07-11,0.17,82.35,74.16,18.66,1.74
NASA_POWER,4.65847,-74.08396,2021-07-12,0.23,82.4,75.7,18.66,1.45
NASA_POWER,4.65847,-74.08396,2021-07-13,2.42,82.43,76.13,18.47,1.7
NASA_POWER,4.65847,-74.08396,2021-07-14,0.17,82.47,71.85,18.51,2.01
