Row,Column,Year,Population,Race,Ethnicity,Gender,AgeRange
1,13,2021,53181,ALL,ALL,Hombre,30TO34
1,13,2021,46876,ALL,ALL,Hombre,35TO39
1,13,2021,42282,ALL,ALL,Hombre,40TO44
1,13,2021,36964,ALL,ALL,Hombre,45TO49
1,13,2021,37699,ALL,ALL,Hombre,5TO9
1,13,2021,34735,ALL,ALL,Hombre,50TO54
1,13,2021,32808,ALL,ALL,Hombre,55TO59
1,13,2021,26427,ALL,ALL,Hombre,60TO64
1,13,2021,18892,ALL,ALL,Hombre,65TO69
1,13,2021,12970,ALL,ALL,Hombre,70TO74
1,13,2021,8248,ALL,ALL,Hombre,75TO79
1,13,2021,4648,ALL,ALL,Hombre,80TO84
1,13,2021,2482,ALL,ALL,Hombre,85TO89
1,13,2021,1295,ALL,ALL,Hombre,90TO94
1,13,2021,475,ALL,ALL,Hombre,95TO99
1,13,2021,35371,ALL,ALL,Mujer,0TO4
1,13,2021,36048,ALL,ALL,Mujer,10TO14
1,13,2021,479,ALL,ALL,Mujer,100UP
1,13,2021,41619,ALL,ALL,Mujer,15TO19
1,13,2021,54595,ALL,ALL,Mujer,20TO24
1,13,2021,60310,ALL,ALL,Mujer,25TO29
1,13,2021,55266,ALL,ALL,Mujer,30TO34
1,13,2021,51363,ALL,ALL,Mujer,35TO39
1,13,2021,49439,ALL,ALL,Mujer,40TO44
1,13,2021,44898,ALL,ALL,Mujer,45TO49
1,13,2021,36520,ALL,ALL,Mujer,5TO9
1,13,2021,44054,ALL,ALL,Mujer,50TO54
1,13,2021,42452,ALL,ALL,Mujer,55TO59
1,13,2021,35609,ALL,ALL,Mujer,60TO64
1,13,2021,27104,ALL,ALL,Mujer,65TO69
1,13,2021,19393,ALL,ALL,Mujer,70TO74
1,13,2021,12959,ALL,ALL,Mujer,75TO79
1,13,2021,7623,ALL,ALL,Mujer,80TO84
1,13,2021,4313,ALL,ALL,Mujer,85TO89
1,13,2021,2207,ALL,ALL,Mujer,90TO94
1,13,2021,970,ALL,ALL,Mujer,95TO99
1,13,2022,36833,ALL,ALL,Hombre,0TO4
1,13,2022,37652,ALL,ALL,Hombre,10TO14
1,13,2022,211,ALL,ALL,Hombre,100UP
1,13,2022,40813,ALL,ALL,Hombre,15TO19
1,13,2022,51679,ALL,ALL,Hombre,20TO24
1,13,2022,60846,ALL,ALL,Hombre,25TO29
1,13,2022,55167,ALL,ALL,Hombre,30TO34
1,13,2022,48064,ALL,ALL,Hombre,35TO39
1,13,2022,43484,ALL,ALL,Hombre,40TO44
1,13,2022,37910,ALL,ALL,Hombre,45TO49
1,13,2022,38274,ALL,ALL,Hombre,5TO9
1,13,2022,35290,ALL,ALL,Hombre,50TO54
1,13,2022,33729,ALL,ALL,Hombre,55TO59
1,13,2022,27878,ALL,ALL,Hombre,60TO64
1,13,2022,20142,ALL,ALL,Hombre,65TO69
1,13,2022,14022,ALL,ALL,Hombre,70TO74
1,13,2022,8954,ALL,ALL,Hombre,75TO79
1,13,2022,5080,ALL,ALL,Hombre,80TO84
1,13,2022,2715,ALL,ALL,Hombre,85TO89
1,13,2022,1414,ALL,ALL,Hombre,90TO94
1,13,2022,598,ALL,ALL,Hombre,95TO99
1,13,2022,34126,ALL,ALL,Mujer,0TO4
1,13,2022,36001,ALL,ALL,Mujer,10TO14
1,13,2022,497,ALL,ALL,Mujer,100UP
1,13,2022,40842,ALL,ALL,Mujer,15TO19
1,13,2022,53084,ALL,ALL,Mujer,20TO24
1,13,2022,61144,ALL,ALL,Mujer,25TO29
1,13,2022,56723,ALL,ALL,Mujer,30TO34
1,13,2022,51936,ALL,ALL,Mujer,35TO39
1,13,2022,50408,ALL,ALL,Mujer,40TO44
1,13,2022,46000,ALL,ALL,Mujer,45TO49
1,13,2022,36924,ALL,ALL,Mujer,5TO9
1,13,2022,44294,ALL,ALL,Mujer,50TO54
1,13,2022,43468,ALL,ALL,Mujer,55TO59
1,13,2022,37324,ALL,ALL,Mujer,60TO64
1,13,2022,28778,ALL,ALL,Mujer,65TO69
1,13,2022,20900,ALL,ALL,Mujer,70TO74
1,13,2022,14060,ALL,ALL,Mujer,75TO79
1,13,2022,8434,ALL,ALL,Mujer,80TO84
1,13,2022,4740,ALL,ALL,Mujer,85TO89
1,13,2022,2403,ALL,ALL,Mujer,90TO94
1,13,2022,1068,ALL,ALL,Mujer,95TO99
1,13,2023,35651,ALL,ALL,Hombre,0TO4
1,13,2023,37991,ALL,ALL,Hombre,10TO14
1,13,2023,216,ALL,ALL,Hombre,100UP
1,13,2023,40127,ALL,ALL,Hombre,15TO19
1,13,2023,50352,ALL,ALL,Hombre,20TO24
1,13,2023,61423,ALL,ALL,Hombre,25TO29
1,13,2023,56966,ALL,ALL,Hombre,30TO34
1,13,2023,49408,ALL,ALL,Hombre,35TO39
1,13,2023,44786,ALL,ALL,Hombre,40TO44
1,13,2023,39179,ALL,ALL,Hombre,45TO49
1,13,2023,38445,ALL,ALL,Hombre,5TO9
1,13,2023,35723,ALL,ALL,Hombre,50TO54
1,13,2023,34322,ALL,ALL,Hombre,55TO59
1,13,2023,29356,ALL,ALL,Hombre,60TO64
1,13,2023,21538,ALL,ALL,Hombre,65TO69
1,13,2023,14895,ALL,ALL,Hombre,70TO74
1,13,2023,9634,ALL,ALL,Hombre,75TO79
1,13,2023,5534,ALL,ALL,Hombre,80TO84
1,13,2023,2897,ALL,ALL,Hombre,85TO89
1,13,2023,1486,ALL,ALL,Hombre,90TO94
1,13,2023,689,ALL,ALL,Hombre,95TO99
1,13,2023,32885,ALL,ALL,Mujer,0TO4
1,13,2023,36345,ALL,ALL,Mujer,10TO14
1,13,2023,522,ALL,ALL,Mujer,100UP
1,13,2023,40001,ALL,ALL,Mujer,15TO19
1,13,2023,51689,ALL,ALL,Mujer,20TO24
1,13,2023,61576,ALL,ALL,Mujer,25TO29
1,13,2023,58291,ALL,ALL,Mujer,30TO34
1,13,2023,52894,ALL,ALL,Mujer,35TO39
1,13,2023,51324,ALL,ALL,Mujer,40TO44
1,13,2023,47223,ALL,ALL,Mujer,45TO49
1,13,2023,37103,ALL,ALL,Mujer,5TO9
1,13,2023,44492,ALL,ALL,Mujer,50TO54
1,13,2023,44254,ALL,ALL,Mujer,55TO59
1,13,2023,39053,ALL,ALL,Mujer,60TO64
1,13,2023,30453,ALL,ALL,Mujer,65TO69
1,13,2023,22266,ALL,ALL,Mujer,70TO74
1,13,2023,15213,ALL,ALL,Mujer,75TO79
1,13,2023,9206,ALL,ALL,Mujer,80TO84
1,13,2023,5150,ALL,ALL,Mujer,85TO89
1,13,2023,2622,ALL,ALL,Mujer,90TO94
1,13,2023,1178,ALL,ALL,Mujer,95TO99
1,13,2024,34373,ALL,ALL,Hombre,0TO4
