Row,Column,Year,Population,Race,Ethnicity,Gender,AgeRange
1,12,2026,31682,ALL,ALL,MALE,30TO34
1,12,2026,27259,ALL,ALL,MALE,35TO39
1,12,2026,24333,ALL,ALL,MALE,40TO44
1,12,2026,20620,ALL,ALL,MALE,45TO49
1,12,2026,27282,ALL,ALL,MALE,5TO9
1,12,2026,16801,ALL,ALL,MALE,50TO54
1,12,2026,15242,ALL,ALL,MALE,55TO59
1,12,2026,12973,ALL,ALL,MALE,60TO64
1,12,2026,10369,ALL,ALL,MALE,65TO69
1,12,2026,7306,ALL,ALL,MALE,70TO74
1,12,2026,4379,ALL,ALL,MALE,75TO79
1,12,2026,2502,ALL,ALL,MALE,80TO84
1,12,2026,1096,ALL,ALL,MALE,85TO89
1,12,2026,397,ALL,ALL,MALE,90TO94
1,12,2026,117,ALL,ALL,MALE,95TO99
1,12,2026,25893,ALL,ALL,FEMALE,0TO4
1,12,2026,23136,ALL,ALL,FEMALE,10TO14
1,12,2026,47,ALL,ALL,FEMALE,100UP
1,12,2026,23094,ALL,ALL,FEMALE,15TO19
1,12,2026,25737,ALL,ALL,FEMALE,20TO24
1,12,2026,29649,ALL,ALL,FEMALE,25TO29
1,12,2026,29534,ALL,ALL,FEMALE,30TO34
1,12,2026,26149,ALL,ALL,FEMALE,35TO39
1,12,2026,24130,ALL,ALL,FEMALE,40TO44
1,12,2026,20963,ALL,ALL,FEMALE,45TO49
1,12,2026,25552,ALL,ALL,FEMALE,5TO9
1,12,2026,18022,ALL,ALL,FEMALE,50TO54
1,12,2026,17101,ALL,ALL,FEMALE,55TO59
1,12,2026,15523,ALL,ALL,FEMALE,60TO64
1,12,2026,12453,ALL,ALL,FEMALE,65TO69
1,12,2026,9025,ALL,ALL,FEMALE,70TO74
1,12,2026,5679,ALL,ALL,FEMALE,75TO79
1,12,2026,3215,ALL,ALL,FEMALE,80TO84
1,12,2026,1587,ALL,ALL,FEMALE,85TO89
1,12,2026,570,ALL,ALL,FEMALE,90TO94
1,12,2026,151,ALL,ALL,FEMALE,95TO99
1,1,2026,4311,ALL,ALL,MALE,0TO4
1,1,2026,2962,ALL,ALL,MALE,10TO14
1,1,2026,7,ALL,ALL,MALE,100UP
1,1,2026,2993,ALL,ALL,MALE,15TO19
1,1,2026,3823,ALL,ALL,MALE,20TO24
1,1,2026,5520,ALL,ALL,MALE,25TO29
1,1,2026,5518,ALL,ALL,MALE,30TO34
1,1,2026,4784,ALL,ALL,MALE,35TO39
1,1,2026,3904,ALL,ALL,MALE,40TO44
1,1,2026,3200,ALL,ALL,MALE,45TO49
1,1,2026,4355,ALL,ALL,MALE,5TO9
1,1,2026,2437,ALL,ALL,MALE,50TO54
1,1,2026,2283,ALL,ALL,MALE,55TO59
1,1,2026,2036,ALL,ALL,MALE,60TO64
1,1,2026,1629,ALL,ALL,MALE,65TO69
1,1,2026,1275,ALL,ALL,MALE,70TO74
1,1,2026,749,ALL,ALL,MALE,75TO79
1,1,2026,418,ALL,ALL,MALE,80TO84
1,1,2026,189,ALL,ALL,MALE,85TO89
1,1,2026,84,ALL,ALL,MALE,90TO94
1,1,2026,32,ALL,ALL,MALE,95TO99
1,1,2026,5718,ALL,ALL,FEMALE,0TO4
1,1,2026,2932,ALL,ALL,FEMALE,10TO14
1,1,2026,19,ALL,ALL,FEMALE,100UP
1,1,2026,3031,ALL,ALL,FEMALE,15TO19
1,1,2026,3921,ALL,ALL,FEMALE,20TO24
1,1,2026,5317,ALL,ALL,FEMALE,25TO29
1,1,2026,5548,ALL,ALL,FEMALE,30TO34
1,1,2026,4744,ALL,ALL,FEMALE,35TO39
1,1,2026,4008,ALL,ALL,FEMALE,40TO44
1,1,2026,3244,ALL,ALL,FEMALE,45TO49
1,1,2026,4310,ALL,ALL,FEMALE,5TO9
1,1,2026,2744,ALL,ALL,FEMALE,50TO54
1,1,2026,2620,ALL,ALL,FEMALE,55TO59
1,1,2026,2419,ALL,ALL,FEMALE,60TO64
1,1,2026,1994,ALL,ALL,FEMALE,65TO69
1,1,2026,1422,ALL,ALL,FEMALE,70TO74
1,1,2026,930,ALL,ALL,FEMALE,75TO79
1,1,2026,573,ALL,ALL,FEMALE,80TO84
1,1,2026,296,ALL,ALL,FEMALE,85TO89
1,1,2026,133,ALL,ALL,FEMALE,90TO94
1,1,2026,44,ALL,ALL,FEMALE,95TO99
1,18,2026,17332,ALL,ALL,MALE,0TO4
1,18,2026,13154,ALL,ALL,MALE,10TO14
1,18,2026,28,ALL,ALL,MALE,100UP
1,18,2026,13705,ALL,ALL,MALE,15TO19
1,18,2026,15505,ALL,ALL,MALE,20TO24
1,18,2026,17966,ALL,ALL,MALE,25TO29
1,18,2026,18158,ALL,ALL,MALE,30TO34
1,18,2026,15296,ALL,ALL,MALE,35TO39
1,18,2026,13362,ALL,ALL,MALE,40TO44
1,18,2026,11897,ALL,ALL,MALE,45TO49
1,18,2026,14137,ALL,ALL,MALE,5TO9
1,18,2026,10172,ALL,ALL,MALE,50TO54
1,18,2026,10341,ALL,ALL,MALE,55TO59
1,18,2026,9472,ALL,ALL,MALE,60TO64
1,18,2026,7153,ALL,ALL,MALE,65TO69
1,18,2026,4801,ALL,ALL,MALE,70TO74
1,18,2026,3102,ALL,ALL,MALE,75TO79
1,18,2026,1786,ALL,ALL,MALE,80TO84
1,18,2026,863,ALL,ALL,MALE,85TO89
1,18,2026,349,ALL,ALL,MALE,90TO94
1,18,2026,116,ALL,ALL,MALE,95TO99
1,18,2026,16748,ALL,ALL,FEMALE,0TO4
1,18,2026,12548,ALL,ALL,FEMALE,10TO14
1,18,2026,46,ALL,ALL,FEMALE,100UP
1,18,2026,13829,ALL,ALL,FEMALE,15TO19
1,18,2026,15632,ALL,ALL,FEMALE,20TO24
1,18,2026,18264,ALL,ALL,FEMALE,25TO29
1,18,2026,18658,ALL,ALL,FEMALE,30TO34
1,18,2026,16130,ALL,ALL,FEMALE,35TO39
1,18,2026,14759,ALL,ALL,FEMALE,40TO44
1,18,2026,13152,ALL,ALL,FEMALE,45TO49
1,18,2026,13969,ALL,ALL,FEMALE,5TO9
1,18,2026,12157,ALL,ALL,FEMALE,50TO54
1,18,2026,12368,ALL,ALL,FEMALE,55TO59
1,18,2026,11751,ALL,ALL,FEMALE,60TO64
1,18,2026,9285,ALL,ALL,FEMALE,65TO69
1,18,2026,6663,ALL,ALL,FEMALE,70TO74
1,18,2026,4473,ALL,ALL,FEMALE,75TO79
1,18,2026,2730,ALL,ALL,FEMALE,80TO84
1,18,2026,1339,ALL,ALL,FEMALE,85TO89
1,18,2026,476,ALL,ALL,FEMALE,90TO94
1,18,2026,150,ALL,ALL,FEMALE,95TO99
1,10,2026,20880,ALL,ALL,MALE,0TO4
1,10,2026,15527,ALL,ALL,MALE,10TO14
1,10,2026,0,ALL,ALL,MALE,100UP
1,10,2026,15708,ALL,ALL,MALE,15TO19
1,10,2026,17136,ALL,ALL,MALE,20TO24
1,10,2026,19874,ALL,ALL,MALE,25TO29
1,10,2026,19353,ALL,ALL,MALE,30TO34
1,10,2026,16391,ALL,ALL,MALE,35TO39
1,10,2026,14431,ALL,ALL,MALE,40TO44
1,10,2026,12269,ALL,ALL,MALE,45TO49
1,10,2026,16483,ALL,ALL,MALE,5TO9
1,10,2026,10506,ALL,ALL,MALE,50TO54
1,10,2026,9532,ALL,ALL,MALE,55TO59
1,10,2026,8620,ALL,ALL,MALE,60TO64
1,10,2026,7028,ALL,ALL,MALE,65TO69
1,10,2026,4919,ALL,ALL,MALE,70TO74
1,10,2026,2870,ALL,ALL,MALE,75TO79
1,10,2026,1587,ALL,ALL,MALE,80TO84
1,10,2026,582,ALL,ALL,MALE,85TO89
1,10,2026,174,ALL,ALL,MALE,90TO94
1,10,2026,33,ALL,ALL,MALE,95TO99
1,10,2026,19903,ALL,ALL,FEMALE,0TO4
1,10,2026,14454,ALL,ALL,FEMALE,10TO14
1,10,2026,24,ALL,ALL,FEMALE,100UP
1,10,2026,14908,ALL,ALL,FEMALE,15TO19
1,10,2026,16533,ALL,ALL,FEMALE,20TO24
1,10,2026,18815,ALL,ALL,FEMALE,25TO29
1,10,2026,18238,ALL,ALL,FEMALE,30TO34
1,10,2026,15851,ALL,ALL,FEMALE,35TO39
1,10,2026,14827,ALL,ALL,FEMALE,40TO44
1,10,2026,13087,ALL,ALL,FEMALE,45TO49
1,10,2026,15758,ALL,ALL,FEMALE,5TO9
1,10,2026,11697,ALL,ALL,FEMALE,50TO54
1,10,2026,11258,ALL,ALL,FEMALE,55TO59
1,10,2026,10190,ALL,ALL,FEMALE,60TO64
1,10,2026,8177,ALL,ALL,FEMALE,65TO69
1,10,2026,5732,ALL,ALL,FEMALE,70TO74
1,10,2026,3438,ALL,ALL,FEMALE,75TO79
1,10,2026,1916,ALL,ALL,FEMALE,80TO84
1,10,2026,860,ALL,ALL,FEMALE,85TO89
1,10,2026,308,ALL,ALL,FEMALE,90TO94
1,10,2026,81,ALL,ALL,FEMALE,95TO99
1,6,2026,8917,ALL,ALL,MALE,0TO4
1,6,2026,5396,ALL,ALL,MALE,10TO14
1,6,2026,11,ALL,ALL,MALE,100UP
1,6,2026,5556,ALL,ALL,MALE,15TO19
1,6,2026,6825,ALL,ALL,MALE,20TO24
1,6,2026,9024,ALL,ALL,MALE,25TO29
1,6,2026,9133,ALL,ALL,MALE,30TO34
1,6,2026,7868,ALL,ALL,MALE,35TO39
1,6,2026,6721,ALL,ALL,MALE,40TO44
1,6,2026,5550,ALL,ALL,MALE,45TO49
1,6,2026,6395,ALL,ALL,MALE,5TO9
1,6,2026,4563,ALL,ALL,MALE,50TO54
1,6,2026,4603,ALL,ALL,MALE,55TO59
1,6,2026,4493,ALL,ALL,MALE,60TO64
1,6,2026,3566,ALL,ALL,MALE,65TO69
1,6,2026,2320,ALL,ALL,MALE,70TO74
1,6,2026,1436,ALL,ALL,MALE,75TO79
1,6,2026,776,ALL,ALL,MALE,80TO84
1,6,2026,414,ALL,ALL,MALE,85TO89
1,6,2026,166,ALL,ALL,MALE,90TO94
1,6,2026,49,ALL,ALL,MALE,95TO99
1,6,2026,8589,ALL,ALL,FEMALE,0TO4
1,6,2026,5204,ALL,ALL,FEMALE,10TO14
1,6,2026,34,ALL,ALL,FEMALE,100UP
1,6,2026,5463,ALL,ALL,FEMALE,15TO19
1,6,2026,6206,ALL,ALL,FEMALE,20TO24
1,6,2026,7747,ALL,ALL,FEMALE,25TO29
1,6,2026,8308,ALL,ALL,FEMALE,30TO34
1,6,2026,7319,ALL,ALL,FEMALE,35TO39
1,6,2026,6317,ALL,ALL,FEMALE,40TO44
1,6,2026,5712,ALL,ALL,FEMALE,45TO49
1,6,2026,6101,ALL,ALL,FEMALE,5TO9
1,6,2026,5166,ALL,ALL,FEMALE,50TO54
1,6,2026,5346,ALL,ALL,FEMALE,55TO59
1,6,2026,5004,ALL,ALL,FEMALE,60TO64
1,6,2026,4166,ALL,ALL,FEMALE,65TO69
1,6,2026,2941,ALL,ALL,FEMALE,70TO74
1,6,2026,1978,ALL,ALL,FEMALE,75TO79
1,6,2026,1200,ALL,ALL,FEMALE,80TO84
1,6,2026,680,ALL,ALL,FEMALE,85TO89
1,6,2026,322,ALL,ALL,FEMALE,90TO94
1,6,2026,113,ALL,ALL,FEMALE,95TO99
1,9,2026,17463,ALL,ALL,MALE,0TO4
1,9,2026,33472,ALL,ALL,MALE,10TO14
1,9,2026,193,ALL,ALL,MALE,100UP
1,9,2026,34767,ALL,ALL,MALE,15TO19
1,9,2026,40344,ALL,ALL,MALE,20TO24
1,9,2026,48234,ALL,ALL,MALE,25TO29
1,9,2026,50655,ALL,ALL,MALE,30TO34
1,9,2026,44745,ALL,ALL,MALE,35TO39
1,9,2026,40129,ALL,ALL,MALE,40TO44
1,9,2026,36450,ALL,ALL,MALE,45TO49
1,9,2026,28905,ALL,ALL,MALE,5TO9
1,9,2026,31258,ALL,ALL,MALE,50TO54
1,9,2026,28579,ALL,ALL,MALE,55TO59
1,9,2026,24716,ALL,ALL,MALE,60TO64
1,9,2026,18681,ALL,ALL,MALE,65TO69
1,9,2026,12921,ALL,ALL,MALE,70TO74
1,9,2026,8631,ALL,ALL,MALE,75TO79
1,9,2026,4940,ALL,ALL,MALE,80TO84
1,9,2026,2490,ALL,ALL,MALE,85TO89
1,9,2026,1074,ALL,ALL,MALE,90TO94
1,9,2026,375,ALL,ALL,MALE,95TO99
1,9,2026,16907,ALL,ALL,FEMALE,0TO4
1,9,2026,31777,ALL,ALL,FEMALE,10TO14
1,9,2026,302,ALL,ALL,FEMALE,100UP
1,9,2026,33252,ALL,ALL,FEMALE,15TO19
1,9,2026,37986,ALL,ALL,FEMALE,20TO24
1,9,2026,46482,ALL,ALL,FEMALE,25TO29
1,9,2026,49085,ALL,ALL,FEMALE,30TO34
1,9,2026,43981,ALL,ALL,FEMALE,35TO39
